RefID,Title,Author,MedlineID,Journal,DateEntered,InternalAnno,AnnoCode,CometSubtypes,IncludeNS3Pos36_175,IncludeNS5APos26_93,Includes S282,Includes S282 + 4 other RAS positions,Includes S282 + 5 other RAS positions,Includes S282 + all positions
1630,NS5 gene of HCV,"Chinchai,T., Bedi,K., Theamboonlers,A. and Poovorawan,Y.",,Unpublished,2026-02-15,,,3a,0,0,7,0,0,0
1631,"Hepatitis C virus type 1b NS5b gene, strain FR.IL 111 (clone 2), partial","Le Pogam,S.",,"Thesis (1998) University Francois Rabelais, Medica",2026-02-15,,,1b,0,0,1,0,0,0
1633,"Hepatitis C virus type 1b NS5b gene, strain FR.IL 111 (clone 1), partial","Le Pogam,S.",,"Thesis (1998) University Francois Rabelais, Medica",2026-02-15,,,1b,0,0,1,0,0,0
1634,"Hepatitis C virus type 1b NS5b gene, strain FR.IL H2 (clone 2), partial","Le Pogam,S.",,"Thesis (1998) University Francois Rabelais, Medica",2026-02-15,,,1b,0,0,1,0,0,0
1636,"Hepatitis C virus type 1b NS5b gene, strain FR.IL H2 (clone 1), partial","Le Pogam,S.",,"Thesis (1998) University Francois Rabelais, Medica",2026-02-15,,,1b,0,0,1,0,0,0
1637,Direct Submission,"Chinchai,T., Bedi,K., Theamboonlers,A. and Poovorawan,Y.",,"Submitted (01-OCT-2004) Pediatrics, Chulalongkorn ",2026-02-15,,,3a,0,0,3,0,0,0
1638,A strategy for obtaining near full length HCV cDNA clones (assemblicons) by assembly PCR,"Sheehy,P., Scallan,M., Kenny-Walsh,E., Shanahan,F. and Fanning,L.",,Unpublished,2026-02-15,,,1a; 1b; 4a; 5a,0,0,4,0,0,0
1640,Direct Submission,"Das,R., Dutta,S., Bakshi,S. and Sadhukhan,P.C.",,"Submitted (01-APR-2022) Virus Laboratory, ICMR-Nat",2026-02-15,,,3b; 6v,0,0,11,0,0,0
1641,Intrafamilial transmission of Hepatitis C virus,"Le Pogam,S., Bacq,Y., Christen,R. and Goudeau,A.",,Unpublished,2026-02-15,,,1b,0,0,11,0,0,0
1643,Molecular epidemiology of an outbreak of infection with hepatitis C virus in recipients of anti-D immunoglobulin,"Power,J.P., Lawlor,E., Davidson,F., Holmes,E.C., Yap,P.L. and Simmonds,P.",7739308,"Lancet 345 (8959), 1211-1213 (1995)",2026-02-15,,,1b,0,0,29,0,0,0
1644,Identification and characterisation of Thai isolates of hepatitis C virus,"Songsivilai,S. and Kanistanon,D.",,Unpublished,2026-02-15,,,1b; 3a,0,0,8,0,0,0
1645,"Hepatitis C virus gene for NS5, partial cds, isolate SR103","Tokita,H. and Okamoto,H.",,Unpublished,2026-02-15,,,2a,0,0,1,0,0,0
1646,"Characterization of HCV genotype 4d infections in Kayseri, Turkey","Kayman,T., Polat,C., Ergor,G. and Abacioglu,Y.H.",26281318,"Turk J Med Sci 45 (3), 547-552 (2015)",2026-02-15,,,4d,0,0,32,0,0,0
1647,Analysis of the putative E1 envelope and NS4a epitope regions of HCV type 3,"Stuyver,L., Van Arnhem,W., Wyseur,A., DeLeys,R. and Maertens,G.",7683463,"Biochem. Biophys. Res. Commun. 192 (2), 635-641 (1",2026-02-15,,,3a,0,0,3,0,0,0
1648,Genotypes and viral load of Hepatitis C Virus among persons attending a voluntary counselling and testing center in Ethiopia,"Abreha,T., Woldeamanuel,Y., Pietsch,C., Maier,M., Asrat,D., Abebe,A., Hailegiorgis,B., Aseffa,A. and Liebert,U.Gerd.",,J. Med. Virol. (2010) In press,2026-02-15,,,1c; 2c; 4r,0,0,4,0,0,0
1650,Natural Variability of NS3 Protease in Patients Infected with Genotype 4 Hepatitis C Virus (HCV): Implications for Antiviral Treatment Using Specifically Targeted Antiviral Therapy for HCV,"Akhavan,S., Schnuriger,A., Lebray,P., Benhamou,Y., Poynard,T. and Thibault,V.",19604114,"J. Infect. Dis. 200 (4), 524-527 (2009)",2026-02-15,,,4a; 4d; 4f; 4k; 4l; 4p; 4r; 4v,43,0,33,0,0,0
1651,"Hepatitis C virus type 1b NS5b gene, strain FR.IL F2 (clone 2), partial","Le Pogam,S.",,"Thesis (1998) University Francois Rabelais, Medica",2026-02-15,,,1b,0,0,1,0,0,0
1653,Characterization of the terminal regions of hepatitis C viral RNA: identification of conserved sequences in the 5' untranslated region and poly(A) tails at the 3' end,"Han,J.H., Shyamala,V., Richman,K.H., Brauer,M.J., Irvine,B., Urdea,M.S., Tekamp-Olson,P., Kuo,G., Choo,Q.L. and Houghton,M.",1705704,"Proc. Natl. Acad. Sci. U.S.A. 88 (5), 1711-1715 (1",2026-02-15,,,1a,0,0,0,0,0,0
1654,"Hepatitis C virus type 1b NS5b gene, strain FR.IL 87 (clone 2), partial","Le Pogam,S.",,"Thesis (1998) University Francois Rabelais, Medica",2026-02-15,,,1b,0,0,1,0,0,0
1658,Correlation of the 5'untranslated region (5'UTR) and non-structural 5B (NS5B) nucleotide sequences in hepatitis C virus subtyping,"Baclig,M.O., Chan,V.F., Ramos,J.D., Gopez-Cervantes,J. and Natividad,F.F.",21537395,"Int J Mol Epidemiol Genet 1 (3), 236-244 (2010)",2026-02-15,,,1a; 1b,0,0,26,0,0,0
1660,"Hepatitis C virus gene for NS5, partial cds, isolate SR108","Tokita,H. and Okamoto,H.",,Unpublished,2026-02-15,,,2a,0,0,1,0,0,0
1661,Direct Submission,"Raiss,N.",,"Submitted (28-APR-2021) Virologie, INH, Avenue Ibn",2026-02-15,,,2i,0,0,1,0,0,0
1663,Identification of Genotype 2 HCV in Serotype-1 Hepatitis C Patients Unresponsive to Daclatasvir plus Asunaprevir Treatment,"Inoue,J., Kanno,A., Wakui,Y., Miura,M., Kobayashi,T., Morosawa,T., Kogure,T., Kakazu,E., Ninomiya,M., Fujisaka,Y., Umetsu,T., Takai,S., Nakamura,T. and Shimosegawa,T.",28049871,"Tohoku J. Exp. Med. 241 (1), 21-28 (2017)",2026-02-15,,,2a; 2b,0,0,3,0,0,0
1665,Direct Submission,"Das,R., Dutta,S., Bakshi,S. and Sadhukhan,P.C.",,"Submitted (07-FEB-2022) Virus Laboratory, ICMR-Nat",2026-02-15,,,6n,0,0,8,0,0,0
1672,Direct Submission,"Raiss,N., Benamar,T., Annan,A., Oumzil,H., Medraoui,L., Elomari,N., Bimouhen,A., Ihazamade,H., Lemrabet,S. and Amghari,S.",,"Submitted (07-JUN-2021) Virologie, Institut Nation",2026-02-15,,,3a,0,0,1,0,0,0
1674,Molecular evolution in court: analysis of a large hepatitis C virus outbreak from an evolving source,"Gonzalez-Candelas,F., Bracho,M.A., Wrobel,B. and Moya,A.",23870105,"BMC Biol. 11, 76 (2013)",2026-02-15,,,1a,0,0,364,0,0,0
1675,Phylogenetic characterization of genotype 4 hepatitis C virus isolates from Argentina,"Alfonso,V., Flichman,D., Sookoian,S., Mbayed,V.A. and Campos,R.H.",11326031,"J. Clin. Microbiol. 39 (5), 1989-1992 (2001)",2026-02-15,,,4a; 4d,0,0,3,0,0,0
1676,Direct Submission,"Siti Noraziah,A.Z. and Nazlina,I.",,Submitted (06-MAY-2013) School of Bioscience & Bio,2026-02-15,,,3a,0,0,4,0,0,0
1685,Seroprevalences and subtype distribution of hepatitis C virus among blood donors and intravenous drug users in northern Thailand,"Apichartpiyakul,C., Apichartpiyakul,N., Urwijitaroon,Y., Gray,J., Natpratan,C., Katayama,Y., Fujii,M. and Hotta,H.",,Unpublished,2026-02-15,,,6c; 6i; 6j; 7a,0,0,3,0,0,0
1687,Subtype analysis of hepatitis C virus in Indonesia on the basis of NS5b region sequences,"Hotta,H., Handajani,R., Lusida,M.I., Soemarto,W., Doi,H., Miyajima,H. and Homma,M.",7883898,"J. Clin. Microbiol. 32 (12), 3049-3051 (1994)",2026-02-15,,,1c; 3k,0,0,6,0,0,0
1999,Multigenotype HCV-NS3 recombinant vaccinia viruses as a model for evaluation of cross-genotype immunity induced by HCV vaccines in the mouse,"Eisenbach,C., Freyse,A., Lupu,C.M., Weigand,K., Ernst,E., Hoyler,B., Stremmel,W., Bugert,J.J. and Encke,J.",16713033,"Vaccine 24 (24), 5140-5148 (2006)",2026-02-15,,,1a; 1b; 2a; 3a; 4a,16,0,0,0,0,0
2000,"Influence of amino acid variations in the NS3, NS4A and NS4B of HCV genotypes 1a, 1b, 3a, 3b and 6f on the response to pegylated interferon and ribavirin combination therapy","Chusri,P., Kumthip,K., Pantip,C., Thongsawat,S., O'Brien,A. and Maneekarn,N.",25445343,"Virus Res. 196, 37-43 (2014)",2026-02-15,,,1a; 1b; 3a; 3b; 6f,134,0,0,0,0,0
2001,Naturally occurring hepatitis C virus (HCV) NS3/4A protease inhibitor resistance-related mutations in HCV genotype 1-infected subjects in Italy,"Vicenti,I., Rosi,A., Saladini,F., Meini,G., Pippi,F., Rossetti,B., Sidella,L., Di Giambenedetto,S., Almi,P., De Luca,A., Caudai,C. and Zazzi,M.",22258932,"J. Antimicrob. Chemother. 67 (4), 984-987 (2012)",2026-02-15,,,1a; 1b,109,0,0,0,0,0
2002,Baseline Polymorphisms and Emergence of Drug Resistance in the NS3/4A Protease of Hepatitis C Virus Genotype 1 following Treatment with Faldaprevir and Pegylated Interferon Alpha 2a/Ribavirin in Phase 2 and Phase 3 Studies,"Berger,K.L., Scherer,J., Ranga,M., Sha,N., Stern,J.O., Quinson,A.M. and Kukolj,G.",26195509,"Antimicrob. Agents Chemother. 59 (10), 6017-6025 (",2026-02-15,,,1a; 1b; 1c; 1d; 1e; 1g; 1h; 1l; 3a; 4m; 6e; 6l; 6q,3131,0,0,0,0,0
2003,Naturally occurring NS3 resistance-associated variants in hepatitis C virus genotype 1: Their relevance for developing countries,"Echeverria,N.N., Betancour,G.G., Gambaro,F.F., Hernandez,N.N., Lopez,P.P., Chiodi,D.D., Sanchez,A.A., Boschi,S.S., Fajardo,A.A., Sonora,M.M., Moratorio,G.G., Cristina,J.J. and Moreno,P.P.",27449600,"Virus Res. 223, 140-146 (2016)",2026-02-15,,,1a; 1b,7,0,0,0,0,0
2004,Development of hepatitis C virus chimeric replicons for identifying broad spectrum NS3 protease inhibitors,"Binder,J., Tetangco,S., Weinshank,M., Maegley,K., Lingardo,L., Diehl,W., Love,R., Patick,A.K. and Smith,G.J. III.",21620899,"Antiviral Res. 91 (2), 102-111 (2011)",2026-02-15,,,1a; 1b; 2b; 3a; 4a,28,0,0,0,0,0
2005,Two Distinct Hepatitis C Virus Genotype 1a Clades Have Different Geographical Distribution and Association With Natural Resistance to NS3 Protease Inhibitors,"De Luca,A., Di Giambenedetto,S., Lo Presti,A., Sierra,S., Prosperi,M., Cella,E., Giovanetti,M., Torti,C., Caudai,C., Vicenti,I., Saladini,F., Almi,P., Grima,P., Blanc,P., Fabbiani,M., Rossetti,B., Gagliardini,R., Kaiser,R., Ciccozzi,M. and Zazzi,M.",26213689,"Open Forum Infect Dis 2 (2), OFV043 (2015)",2026-02-15,,,1a,130,0,0,0,0,0
2006,Multiple mechanisms drive within-host virus evolution and resistance to antivirals in vivo,"Ke,R., Li,H., Ribeiro,R.M., Giorgi,E.E., Bhattacharya,T., Shaw,G.M. and Perelson,A.S.",,Unpublished,2026-02-15,,,1a; 1b,2652,0,0,0,0,0
2007,Elucidation of hepatitis C virus transmission and early diversification by single genome sequencing,"Li,H., Stoddard,M.B., Wang,S., Blair,L.M., Giorgi,E.E., Parrish,E.H., Learn,G.H., Hraber,P., Goepfert,P.A., Saag,M.S., Denny,T.N., Haynes,B.F., Hahn,B.H., Ribeiro,R.M., Perelson,A.S., Korber,B.T., Bhattacharya,T. and Shaw,G.M.",22927816,"PLoS Pathog. 8 (8), E1002880 (2012)",2026-02-15,,,1a; 1b; 3a,2358,0,0,0,0,0
2008,A transient cell-based phenotype assay for hepatitis C NS3/4A protease: Application to potency determinations of a novel macrocyclic inhibitor against diverse protease sequences isolated from plasma infected with HCV,"Ludmerer,S.W., Graham,D.J., Patel,M., Gilbert,K., Stahlhut,M. and Olsen,D.B.",18582955,"J. Virol. Methods 151 (2), 301-307 (2008)",2026-02-15,,,1a; 1b; 2b; 3a,23,0,0,0,0,0
2009,Naturally occurring NS3 resistance-associated variants in hepatitis C virus genotype 1: Their relevance for developing countries,"Echeverria,N., Betancour,G., Gambaro,F., Hernandez,N., Lopez,P., Chiodi,D., Sanchez,A., Boschi,S., Fajardo,A., Sonora,M., Moratorio,G., Cristina,J. and Moreno,P.",27449600,"Virus Res. 223, 140-146 (2016)",2026-02-15,,,1a; 1b; 3a,15,0,0,0,0,0
2010,Evidence of viral adaptation to HLA class I-restricted immune pressure in chronic hepatitis C virus infection,"Gaudieri,S., Rauch,A., Park,L.P., Freitas,E., Herrmann,S., Jeffrey,G., Cheng,W., Pfafferott,K., Naidoo,K., Chapman,R., Battegay,M., Weber,R., Telenti,A., Furrer,H., James,I., Lucas,M. and Mallal,S.A.",17071929,"J. Virol. 80 (22), 11094-11104 (2006)",2026-02-15,,,1a; 1b; 3a; 6e,65,0,0,0,0,0
2011,Assessing routes of hepatitis C transmission in HIV-infected men who have sex with men using single genome sequencing,"Li,H., Marks,K.M., Talal,A.H., van Seggelen,W.O., Akil,B., Radix,A., Huprikar,S., Branch,A.D., Wang,S., Shaw,G.M. and Fierer,D.S.",32667919,"PLoS ONE 15 (7), e0235237 (2020)",2026-02-15,,,1a; 1b; 2b,418,0,0,0,0,0
2013,Spontaneous clearance of primary acute hepatitis C virus infection correlated with high initial viral RNA level and rapid HVR1 evolution,"Liu,L., Fisher,B.E., Thomas,D.L., Cox,A.L. and Ray,S.C.",22234804,Hepatology (2012) In press,2026-02-15,,,1a,24,0,0,0,0,0
2014,Transmission of low-density hepatitis C viral particles during sexually transmitted acute resolving infection,"Diaz,O., Cubero,M., Trabaud,M.A., Quer,J., Icard,V., Esteban,J.I., Lotteau,V. and Andre,P.",18098146,"J. Med. Virol. 80 (2), 242-246 (2008)",2026-02-15,,,1a,28,0,0,0,0,0
2016,High multiplicity infection following transplantation of hepatitis C virus-positive organs,"Zahid,M.N., Wang,S., Learn,G.H., Abt,P.L., Blumberg,E.A., Reese,P.P., Goldberg,D.S., Shaw,G.M. and Bar,K.J.",31112523,"J. Clin. Invest. 130, 127203 (2019)",2026-02-15,,,1a,360,0,0,0,0,0
2021,Effect of bottlenecking on evolution of the nonstructural protein 3 gene of hepatitis C virus during sexually transmitted acute resolving infection,"Quer,J., Esteban,J.I., Cos,J., Sauleda,S., Ocana,L., Martell,M., Otero,T., Cubero,M., Palou,E., Murillo,P., Esteban,R. and Guardia,J.",16306585,"J. Virol. 79 (24), 15131-15141 (2005)",2026-02-15,,,1a,30,0,0,0,0,0
2023,Acceleration of hepatitis C virus envelope evolution in humans is consistent with progressive humoral immune selection during the transition from acute to chronic infection,"Liu,L., Fisher,B.E., Dowd,K.A., Astemborski,J., Cox,A.L. and Ray,S.C.",20200239,"J. Virol. 84 (10), 5067-5077 (2010)",2026-02-15,,,1a,29,0,0,0,0,0
2025,Cellular immune selection with hepatitis C virus persistence in humans,"Cox,A.L., Mosbruger,T., Mao,Q., Liu,Z., Wang,X.-H., Yang,H.-C., Sidney,J., Sette,A., Pardoll,D., Thomas,D.L. and Ray,S.C.",15939790,"J. Exp. Med. 201 (11), 1741-1752 (2005)",2026-02-15,,,1a; 1b,35,0,0,0,0,0
2027,Progression of fibrosis during chronic hepatitis C is associated with rapid virus evolution,"Wang,X.H., Netski,D.M., Astemborski,J., Mehta,S.H., Torbenson,M.S., Thomas,D.L. and Ray,S.C.",17329332,"J. Virol. 81 (12), 6513-6522 (2007)",2026-02-15,,,1a; 1b,41,0,0,0,0,0
2029,Differential escape of HCV from CD8(+) T cell selection pressure between China and Germany depends on the presenting HLA class I molecule,"Xia,Y., Pan,W., Ke,X., Skibbe,K., Walker,A., Hoffmann,D., Lu,Y., Yang,X., Feng,X., Tong,Q., Timm,J. and Yang,D.",30260541,J. Viral Hepat. (2018) In press,2026-02-15,,,1b,92,0,0,0,0,0
2031,Degree of cross-genotype reactivity of Hepatitis C virus-specific CD8+ T cells directed against NS3,"Giugliano,S., Oezkan,F., Bedrejowski,M., Kudla,M., Reiser,M., Viazov,S., Scherbaum,N., Roggendorf,M. and Timm,J.",,Unpublished,2026-02-15,,,1b; 3a,86,0,0,0,0,0
